path,layer,exists,size_bytes,sha256,status,owner_candidate,consumer_candidate,dependency_candidate,language_aliases,verification,decision,notes
/home/mak/_archive,archive,true,4096,,EVIDENCE_ONLY,unknown archive curator,rollback/provenance review,archive text and patch evidence,"es:archivo|respaldo|histórico; en:archive|backup|historical",bounded find/stat; contents not interpreted as Git inventory,no_change,"Preserve archive evidence; no restore or merge"
/home/mak/rollback,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown rollback curator,forensic review only,versioned snapshots and before/after files,"es:rollback|reversión|respaldo|evidencia; en:rollback|restore|backup|evidence",bounded find/stat; no snapshot executed,no_change,"Rollback root has no current consumer contract"
/home/mak/rollback/atlas-context-map-20260811,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown atlas experiment owner,no current consumer verified,HTML/JS snapshot,"es:mapa|contexto|evidencia; en:map|context|evidence",bounded find/stat; no browser execution,no_change,"Historical atlas snapshot"
/home/mak/rollback/atlas-drafts-undo-20260811,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown atlas experiment owner,no current consumer verified,mirror/runtime snapshot,"es:borrador|deshacer|respaldo; en:draft|undo|backup",bounded find/stat; no restore,no_change,"Undo evidence only"
/home/mak/rollback/atlas-hub-boundary-20260811,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown atlas experiment owner,no current consumer verified,service/source snapshots,"es:hub|servicio|evidencia; en:hub|service|evidence",bounded find/stat; service files not installed,no_change,"Historical boundary snapshot"
/home/mak/rollback/atlas-partial-retry-20260811,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown atlas experiment owner,no current consumer verified,mirror/runtime snapshot,"es:reintento|cola|evidencia; en:retry|queue|evidence",bounded find/stat; no retry,no_change,"Partial retry evidence"
/home/mak/rollback/atlas-relation-undo-20260811,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown atlas experiment owner,no current consumer verified,HTML/JS snapshot,"es:relación|deshacer|evidencia; en:relation|undo|evidence",bounded find/stat; no browser execution,no_change,"Undo evidence only"
/home/mak/rollback/faro-conductor-convergence-20260812-070019,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown conductor experiment owner,none verified,department snapshots,"es:conductor|convergencia|trabajo; en:dispatcher|convergence|work",Phase1/rollback bounded listing; no worker,no_change,"Historical convergence snapshot; not current conductor"
/home/mak/rollback/faro-conductor-shadow-20260812-0626,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown conductor experiment owner,none verified,shadow/live snapshot,"es:conductor|sombra|estado; en:dispatcher|shadow|state",bounded find/stat; no shadow probe,no_change,"Shadow evidence only"
/home/mak/rollback/faro-conductor-source-20260812-072924,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown conductor experiment owner,none verified,source/comparison snapshot,"es:fuente|conductor|comparación; en:source|dispatcher|comparison",bounded find/stat; no source execution,no_change,"Source comparison evidence"
/home/mak/rollback/faro-conductor-worker-20260812-080637,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown conductor experiment owner,none verified,worker snapshot,"es:trabajador|cola|evidencia; en:worker|queue|evidence",bounded find/stat; worker not started,no_change,"Worker snapshot; no persistent process"
/home/mak/rollback/faro-five-points-20260812,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown integration experiment owner,none verified,department snapshots,"es:puntos|integración|respaldo; en:points|integration|backup",bounded find/stat; no restore,no_change,"Historical multi-department snapshot"
/home/mak/rollback/faro-live-before-recovered-20260812,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown recovery owner,none verified,pre-recovery snapshots,"es:recuperación|estado|respaldo; en:recovery|state|backup",bounded find/stat; no recovery,no_change,"Pre-recovery evidence"
/home/mak/rollback/faro-recovery-20260812-032015,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown recovery owner,none verified,extras/files/units snapshot,"es:recuperación|unidad|servicio; en:recovery|unit|service",bounded find/stat; units not installed,no_change,"Recovery evidence; no unit activation"
/home/mak/rollback/faro-synthetic-audit-20260811,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown audit owner,none verified,live/repo audit snapshot,"es:auditoría|estado|evidencia; en:audit|state|evidence",bounded find/stat; no audit execution,no_change,"Synthetic audit evidence"
/home/mak/rollback/fondart-group-idempotency-20260813,rollback_evidence,true,4096,,EVIDENCE_ONLY,research corpus curator,none verified,Python snapshot,"es:investigación|idempotencia|evidencia; en:research|idempotency|evidence",bounded find/stat; no import,no_change,"Parallel research generation snapshot"
/home/mak/rollback/fondart-link-context-20260813,rollback_evidence,true,4096,,EVIDENCE_ONLY,research corpus curator,none verified,Python snapshot,"es:investigación|enlace|contexto; en:research|link|context",bounded find/stat; no import,no_change,"Parallel research generation snapshot"
/home/mak/rollback/fondart-pdf-table-live-20260813,rollback_evidence,true,4096,,EVIDENCE_ONLY,research corpus curator,none verified,Python/service snapshot,"es:investigación|tabla|servicio; en:research|table|service",bounded find/stat; service not installed,no_change,"Historical live-labelled snapshot; label is not proof"
/home/mak/rollback/fondart-result-filter-20260813,rollback_evidence,true,4096,,EVIDENCE_ONLY,research corpus curator,none verified,Python snapshot,"es:investigación|filtro|estado; en:research|filter|state",bounded find/stat; no import,no_change,"Research snapshot"
/home/mak/rollback/fondart-scope-20260813,rollback_evidence,true,4096,,EVIDENCE_ONLY,research corpus curator,none verified,Python snapshot,"es:investigación|alcance|ruta; en:research|scope|path",bounded find/stat; no import,no_change,"Research snapshot"
/home/mak/rollback/fondart-source-corpus-live-20260813,rollback_evidence,true,4096,,EVIDENCE_ONLY,research corpus curator,none verified,Python/service snapshot,"es:investigación|corpus|servicio; en:research|corpus|service",bounded find/stat; service not installed,no_change,"Live-labelled historical snapshot; no adoption contract"
/home/mak/rollback/fondart-table-state-20260813,rollback_evidence,true,4096,,EVIDENCE_ONLY,research corpus curator,none verified,Python snapshot,"es:investigación|tabla|estado; en:research|table|state",bounded find/stat; no import,no_change,"Research snapshot"
/home/mak/rollback/fondart-year-plan-live-20260813,rollback_evidence,true,4096,,EVIDENCE_ONLY,research corpus curator,none verified,Python snapshot,"es:investigación|plan|estado; en:research|plan|state",bounded find/stat; no import,no_change,"Live-labelled historical snapshot; no adoption contract"
/home/mak/rollback/fondart-year-priority-20260813,rollback_evidence,true,4096,,EVIDENCE_ONLY,research corpus curator,none verified,Python snapshot,"es:investigación|prioridad|estado; en:research|priority|state",bounded find/stat; no import,no_change,"Research snapshot"
/home/mak/rollback/local-reconciliation-20260813,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown reconciliation owner,phase review only,structure/nudo snapshots,"es:reconciliación|ruta|evidencia; en:reconciliation|path|evidence",bounded find/stat; no restore,no_change,"Reconciliation evidence"
/home/mak/rollback/mak-sync,rollback_evidence,true,4096,,BLOCKED,unknown sync owner,no authorized current consumer,SSH/Git/copy/rollback tooling,"es:sincronización|respaldo|bloqueado; en:sync|backup|blocked",bounded find/stat; repair tool not executed,no_change,"Promotion blocked; owner, consumer, dependency contract and safe dry-run absent"
/home/mak/rollback/process-guard-20260811,rollback_evidence,true,4096,,OBSOLETE,unknown process guard owner,no current consumer verified,watchdog/guardia snapshots,"es:guardia|vigía|servicio|obsoleto; en:watchdog|guardian|service|obsolete",bounded find/stat; scripts not executed,no_change,"Historical process supervision; no permanent service"
/home/mak/rollback/process-supervision-20260811,rollback_evidence,true,4096,,OBSOLETE,unknown process supervision owner,no current consumer verified,guard/watchdog/systemd snapshots,"es:guardia|vigía|servicio|obsoleto; en:watchdog|guardian|service|obsolete",bounded find/stat; units/scripts not installed,no_change,"Historical supervision generation; do not revive"
/home/mak/rollback/process-supervision-20260811-bus,rollback_evidence,true,4096,,OBSOLETE,unknown process supervision owner,no current consumer verified,bus/runtime snapshots,"es:guardia|cola|servicio|obsoleto; en:watchdog|queue|service|obsolete",bounded find/stat; no bus started,no_change,"Historical supervision bus"
/home/mak/rollback/process-supervision-20260811-bus-final,rollback_evidence,true,4096,,OBSOLETE,unknown process supervision owner,no current consumer verified,bus/runtime snapshots,"es:guardia|cola|servicio|reemplazado; en:watchdog|queue|service|superseded",bounded find/stat; no bus started,no_change,"Final-labelled historical snapshot; label is not live proof"
/home/mak/rollback/runtime-language-sync-20260811,rollback_evidence,true,4096,,EVIDENCE_ONLY,unknown language-sync owner,none verified,Python snapshot,"es:estado|lenguaje|sincronización; en:state|language|sync",bounded find/stat; no import,no_change,"Historical language synchronization evidence"
/home/mak/rollback/xio-human-link-20260811,rollback_evidence,true,4096,,UNDEVELOPED,unknown XIO owner,no current consumer verified,HTML/JS and link snapshot,"es:puente|enlace|sin desarrollar; en:bridge|link|undeveloped",bounded find/stat; no browser execution,no_change,"Name indicates concept, but no current contract or foreground verification"
