phase,path,layer,exists,size_bytes,sha256,classification,owner_candidate,consumer_candidate,dependency_candidate,language_aliases,verification,source_decision,notes
LUNA-10,/home/mak/plataforma/ledger.py,runtime,true,34051,7e7cb2ffdad7dc35750803f831edcf823631443cd36d972cb9da3ded934d11ae,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+mak_curatoria,stdlib,plataforma|platform|ledger|bitacora|bitácora|estado|state|cola|queue,import+AST foreground exit 0,no_change,Runtime contract matches source; no data operation
LUNA-10,/home/mak/plataforma/trabajo.py,runtime,true,46113,8c2bfa74308611b0cee718ecb391ef57bc0c1419c0d77bfc230aa1ab40cb063b,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,plataforma|platform|trabajo|work|job|task|estado|state,AST+help foreground exit 0,no_change,Runtime equals source; no job executed
LUNA-10,/home/mak/plataforma/providers.py,runtime,true,19990,e344564b3ae0f2640e369e52801e1d6ab5be900cdc05b22675a9537e36ec6153,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+flujo.autonomia,stdlib,plataforma|platform|provider|proveedor|salud|health,import+AST foreground exit 0,no_change,Runtime equals source; no external provider called
LUNA-10,/home/mak/plataforma/discernment.py,runtime,true,17816,8e22b01ffa31b50b5833c40bd3268c77273c36d58e5fc6fbfb844e70e348d0e8,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,discernimiento|discernment|estado|state,import+AST foreground exit 0,no_change,Runtime equals source
LUNA-10,/home/mak/plataforma/mineria_rd.py,runtime,true,28055,442ca9d8de0f5c42aafdb93101159bccc6fb769d68f693f5d12f753f2dfbdb13,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,mineria|mining|entrega|delivery,import+AST foreground exit 0,no_change,Runtime equals source
LUNA-10,/home/mak/plataforma/visual_index.py,runtime,true,34720,af869bad65daaf7321088ca1c8f46e7ef4ba833fd610d8e6e6d1056c27919dc6,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+mak_curatoria,stdlib,indice|index|visual|curatoria|curation,import+AST foreground exit 0,no_change,Runtime equals source
LUNA-10,/home/mak/plataforma/tandas.py,runtime,true,59820,18f6b3c839c2cda43b1b216144590c5f32fa51046a84e3efd56e577b7a35908c,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+flujo.autonomia,stdlib,tandas|batch|cola|queue|pending|pendiente,import+help foreground exit 0,no_change,Runtime differs from source; contract not promoted beyond verified imports
LUNA-10,/home/mak/plataforma/revisor.py,runtime,true,14134,8442b74ebfe9f984591420458223ac6518dc68455b269f333e0425ee3bfdbfff,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,revisor|reviewer|curatoria|curation,import+AST foreground exit 0,no_change,Runtime equals source
LUNA-10,/home/mak/plataforma/capataz.py,runtime,true,26295,af41076e5305e44bdeb4e241921bc3917cd85160df93baa6c6e1c0e9195ebd87,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,capataz|foreman|guardia|watchdog,import+AST foreground exit 0,no_change,Runtime equals source
LUNA-10,/home/mak/plataforma/junta.py,runtime,true,13593,b472f79ba666addd1e05063217ccbd37464ca5dd5fc10c9b21236e4d4dda5c1f,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,junta|board|cron|timer|estado|state,import+AST foreground exit 0,no_change,Runtime equals source; no cron execution
LUNA-10,/home/mak/plataforma/latido.py,runtime,true,6014,c8dfb331b1edd0d7ed91827ab5addc14039685d11ba1702fb8c5bd720c6c96ab,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,latido|heartbeat|salud|health|vigia|watchdog,import+AST foreground exit 0,no_change,Runtime equals source; no heartbeat process
LUNA-10,/home/mak/plataforma/material.py,runtime,true,20211,2e97705658378a98f41b07e47f366846b3c0ba5fdb8180dcf83db3537b59f208,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,material|material|carpeta|directory|entrega|delivery,import+AST foreground exit 0,no_change,Runtime equals source
LUNA-10,/home/mak/plataforma/backlog_codex.py,runtime,true,8028,73763c3a9227e4d110cb389d2f676452ba679f5ca1219c77ce6a620a362cd847,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,backlog|cola|queue|pending|pendiente,import+AST foreground exit 0,no_change,Runtime equals source; no backlog mutation
LUNA-10,/home/mak/plataforma/entregar.py,runtime,true,16975,0e63223d20136b21b220b432f37d0cff3809a8ccf1b3b639863d273551d9270b,BLOCKED,platform.entregar.main,mak_conductor,stdlib+filesystem+git+gh,entrega|delivery|output|lock|estado|state,source inspection; no execution,no_change,Same lock/log/network boundary as source
LUNA-10,/home/mak/plataforma/puente_issues.py,runtime,true,25866,e1bc8880c9191822db01f44e5b2dcac29016ac9213532e279ec2a9982a705659,BLOCKED,platform.puente_issues.una_pasada,mak_conductor,gh+SQLite+filesystem,issue|render|research|investigacion|queue|cola,source inspection; no execution,no_change,Same network/persistent observation boundary
LUNA-10,/home/mak/plataforma/panel_directivo.py,runtime,true,4785,4a85f10015f9e25a7f6bc739e6ae81c38f6c5b2e69d71536544816ded824afc7,BLOCKED,existing runtime panel,none,stdlib,panel|estado|state|salud|health|plataforma|platform,compile-from-text exit 1,no_change,Known SyntaxError line 145; preserved unchanged
LUNA-10,/home/mak/flujo/cultura/mak_plataforma/GENESIS.md,source,true,4378,1444b907919e4993ee69f495d3ee6ecfdf4557c8b68167c6c955140ccfe10ec2,EVIDENCE_ONLY,mak_plataforma,none,documentation,plataforma|platform|trabajo|work|estado|state|legado|legacy,read-only metadata+text,no_change,Department doctrine; no consumer contract
LUNA-10,/home/mak/flujo/cultura/mak_plataforma/hub.py,source,true,210361,9a8b861d6065606fcef3c9c4ba13350cfe94f6e8c806ad07df7cfccdb96b0255,EVIDENCE_ONLY,unknown,candidate service,stdlib+filesystem,hub|platform|servicio|service|unit|systemd|guardia|watchdog,AST/declaration inspection,no_change,Service candidate only; no owner or foreground service proof
LUNA-10,/home/mak/flujo/cultura/mak_plataforma/mak-hub.service,source,true,332,e491c5b938f0007bcf4cbffc4ec7f839fd0f7ba5c868ed7b8c77df049201135c,EVIDENCE_ONLY,unknown,candidate service,systemd,servicio|service|unit|systemd|plataforma|platform,metadata inspection,no_change,Declaration is not execution
LUNA-10,/home/mak/flujo/cultura/mak_conductor/handler_registry.py,consumer,true,54633,7284ccacfc44a4fa52cb10f41b541a3392072d4bcf7557dc8875e4005400dc1a,EVIDENCE_ONLY,mak_conductor,mak_plataforma,stdlib+cultura.mak_plataforma,conductor|dispatcher|handler|worker|entrega|delivery|trabajo|work,AST+import exit 0; registry=30,no_change,Canonical mapping evidence; no safe handler execution
LUNA-10,/home/mak/flujo/cultura/mak_conductor/producer_catalog.py,consumer,true,6163,64d3015a9c653f6fbfc4317415941d9bea0d994173b9dcba061c46d624e34c79,EVIDENCE_ONLY,mak_conductor,mak_plataforma,stage catalog,conductor|dispatcher|entrega|delivery|ruta|route,AST+read-only inspection,no_change,Catalog names blocked chains; does not prove operational adoption
LUNA-10,/home/mak/flujo/cultura/mak_conductor/runtime.py,consumer,true,12708,ead30814713687c41984acb6e37e5d8c28de3cc402a99d75b63b74b1a5ba5a56,EVIDENCE_ONLY,mak_conductor,mak_plataforma,SQLite WAL+runtime paths,estado|state|salud|health|cola|queue|servicio|service,AST+read-only inspection,no_change,dispatch_sync can persist; not invoked
LUNA-10,/home/mak/WIN/flujo/cultura/mak_plataforma/GENESIS.md,WIN,true,4378,1444b907919e4993ee69f495d3ee6ecfdf4557c8b68167c6c955140ccfe10ec2,WINDOWS_LEGACY,historical Windows owner,none,documentation,plataforma|platform|legado|legacy|historico|histórico,metadata+hash,no_change,Historical evidence; no Debian contract
LUNA-10,/home/mak/WIN/flujo/cultura/mak_plataforma/ledger.py,WIN,true,34051,7e7cb2ffdad7dc35750803f831edcf823631443cd36d972cb9da3ded934d11ae,WINDOWS_LEGACY,historical Windows owner,none,local source,ledger|bitacora|bitácora|estado|state|legado|legacy,metadata+hash,no_change,Hash match does not establish current ownership
LUNA-10,/home/mak/WIN/flujo/cultura/mak_plataforma/trabajo.py,WIN,true,46113,8c2bfa74308611b0cee718ecb391ef57bc0c1419c0d77bfc230aa1ab40cb063b,WINDOWS_LEGACY,historical Windows owner,none,local source,trabajo|work|job|task|legado|legacy,metadata+hash,no_change,Historical copy; not executed
LUNA-10,/home/mak/WIN/flujo/cultura/mak_plataforma/providers.py,WIN,true,19763,bb92a44b4871f77ee79e261d29fc15abad7efe2aecc7f1af9b831747186cc9ef,WINDOWS_LEGACY,historical Windows owner,none,local source,proveedor|provider|plataforma|platform|legado|legacy,metadata+hash,no_change,Divergent Windows copy; no Debian contract
LUNA-10,/home/mak/WIN/flujo/cultura/mak_plataforma/tandas.py,WIN,true,60016,c5442973982aafa34f1e88a85ab62704d3eb942efedcb438c8a604bcb0681f8b,WINDOWS_LEGACY,historical Windows owner,none,local source,tandas|batch|cola|queue|pendiente|pending|legado|legacy,metadata+hash,no_change,Historical copy; no promotion
LUNA-10,/home/mak/WIN/flujo/cultura/mak_plataforma/hub.py,WIN,true,210129,9c499b42f0a1776f3dbdd0cf0c6f54ac3462223d18028f5597b53581be700dc7,WINDOWS_LEGACY,historical Windows owner,none,local source,hub|servicio|service|unidad|unit|legado|legacy,metadata+hash,no_change,Windows-era hub variant; not runtime
LUNA-10,/home/mak/WIN/flujo/cultura/mak_plataforma/mak-hub.service,WIN,true,701,e16e9d1783b846bd940b66d771f0458a6c47edde8b15e817dad37f13fd1537cd,WINDOWS_LEGACY,historical Windows owner,none,systemd text,servicio|service|unit|systemd|legado|legacy,metadata+hash,no_change,Historical declaration only
LUNA-10,/home/mak/WIN/flujo/cultura/mak_plataforma/entregar.py,WIN,true,17032,94cdf9e82186be6d983157140e5e0c39b825a54f24821783464ae5290c6974c4,WINDOWS_LEGACY,historical Windows owner,none,local source,entrega|delivery|estado|state|respaldo|backup|legado|legacy,metadata+hash,no_change,Historical caller; Debian consumer unproven
LUNA-10,/home/mak/WIN/flujo/cultura/mak_plataforma/puente_issues.py,WIN,true,25866,e1bc8880c9191822db01f44e5b2dcac29016ac9213532e279ec2a9982a705659,WINDOWS_LEGACY,historical Windows owner,none,local source,issue|render|investigacion|research|legado|legacy,metadata+hash,no_change,Historical copy; no promotion
LUNA-10,/home/mak/WIN/flujo/cultura/mak_conductor/handler_registry.py,historical_win,true,54618,b0c265a0f6e059822eb1220cdd14c45b3af264caea34da47472eb3c690c2a424,WINDOWS_LEGACY,historical Windows owner,none,local source,conductor|dispatcher|handler|legado|legacy,metadata+hash,no_change,Phase9 parity/current consumer unproven
LUNA-11,/home/mak/flujo/cultura/mak_research,source,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK research owner,interfaz.py worker.py and platform hub,Python 3.11 urllib provider env queue service,investigacion|investigación|research|trabajo|work|cola|queue|estado|state,metadata+bounded AST 47 files exit 0,BLOCKED,no foreground contract without models providers queues or services
LUNA-11,/home/mak/research,runtime,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK research runtime,interfaz.py worker.py and outputs,Python venv env JSONL locks service and external providers,investigacion|investigación|research|trabajo|work|cola|queue|estado|state,depth1 metadata and source/runtime hash comparison,BLOCKED,live-looking runtime data exists but owner consumer dependency and safe verification are incomplete
LUNA-11,/home/mak/flujo/cultura/mak_curatoria,source,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK curatoria owner,curatoria runtime and research memory,Python DB/files GPU guard OneDrive paths,curatoria|curation|ficha|record|percepcion|perception|guardia|watchdog,metadata+bounded AST exit 0,BLOCKED,source has ingestion and guardia contracts but no isolated current Debian verification
LUNA-11,/home/mak/curatoria,runtime,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK curatoria runtime,research corpus and reports,JSONL logs SQLite/files locks and optional OneDrive,curatoria|curation|ficha|record|estado|state|guardia|watchdog,depth1 metadata only,BLOCKED,persistent outputs and locks prohibit promotion during triage
LUNA-11,/home/mak/flujo/cultura/mak_codex,source,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK codex owner,interfaz_codex.py worker_codex.py,Python UI worker service and model/provider boundary,codex|codigo|code|pieza|artifact|trabajo|job|cola|queue,metadata+bounded AST exit 0,BLOCKED,code is parseable but no permitted LLM/provider/worker execution
LUNA-11,/home/mak/codex,runtime,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK codex runtime,piezas revisions and job records,SQLite/JSONL locks service and provider boundary,codex|codigo|code|pieza|artifact|trabajo|job|estado|state,depth1 metadata only,BLOCKED,operational-looking state is not foreground adoption evidence
LUNA-11,/home/mak/flujo/cultura/mak_research/interfaz.py,source,true,156732,c7cf09854729ee4e83e50a62d5557dd5815d0e805d50ed1d14a471bf33458114,BLOCKED,MAK research,Hub /research/ and research outputs,stdlib plus research_lib env jobs JSONL and LLM providers,investigacion|investigación|research|interfaz|interface|estado|state,AST pass and grep consumer contract; no runtime invocation,BLOCKED,declares consumer and paths but execution would touch jobs outputs or providers
LUNA-11,/home/mak/research/interfaz.py,runtime,true,156732,c7cf09854729ee4e83e50a62d5557dd5815d0e805d50ed1d14a471bf33458114,BLOCKED,MAK research,local UI and Hub route,venv env jobs JSONL locks and provider calls,research|interfaz|interface|cola|queue|estado|state,source/runtime hash equality; no service start,BLOCKED,hash equality is not proof of current owner or healthy consumer
LUNA-11,/home/mak/flujo/cultura/mak_research/research_lib.py,source,true,62812,020069a00000fe6492a6b5bd3ce4e6dde3792a47cf544f2221c9a35b5702e989,BLOCKED,MAK research,interfaz research worker codex annex,urllib env model providers GPU lease activity ledger,research|investigacion|investigación|proveedor|provider|ledger|bitacora|bitácora,AST pass; import not executed because provider boundary,BLOCKED,dependency contract is external/provider-backed and prohibited to run
LUNA-11,/home/mak/research/research_lib.py,runtime,true,62812,020069a00000fe6492a6b5bd3ce4e6dde3792a47cf544f2221c9a35b5702e989,BLOCKED,MAK research,interfaz worker and codex annex,env provider files GPU lease JSONL ledger,research|investigacion|investigación|proveedor|provider|estado|state,hash equality and depth1 metadata,BLOCKED,available runtime artifacts do not establish safe Debian adoption
LUNA-11,/home/mak/flujo/cultura/mak_research/worker.py,source,true,18942,6952cfccf72f80fcc5c4342e30ea56b8452c4e3350fa6ed491f741cbc085a4a7,BLOCKED,MAK research,cola.service and codex icon annex,queue lock scripts model provider and persistent events,worker|conductor|dispatcher|cola|queue|investigacion|research|codex,AST pass; not invoked,BLOCKED,worker/queue execution explicitly out of scope
LUNA-11,/home/mak/research/worker.py,runtime,true,18942,6952cfccf72f80fcc5c4342e30ea56b8452c4e3350fa6ed491f741cbc085a4a7,BLOCKED,MAK research,job queue and codex annex,locks JSONL events model providers and subprocesses,worker|trabajador|cola|queue|job|tarea|codex,hash equality; no worker run,BLOCKED,pid/lock/job evidence is not health evidence
LUNA-11,/home/mak/flujo/cultura/mak_research/interfaz.service,source,true,565,da1e992a255b727a115f92718fc326e5ba629158f1fe76ed89bf3317b6b0ab37,BLOCKED,MAK research,interfaz runtime,systemd env file venv and persistent research paths,servicio|service|unit|interfaz|interface|investigacion|research,read-only text/stat; no systemd action,BLOCKED,declaration exists but permanent service use is prohibited and no foreground contract verified
LUNA-11,/home/mak/research/cola.service,runtime,true,404,37e158646db8d76eb73c8b7e514fb646ca64affd5de5d6faf77939b47a077f5f,BLOCKED,MAK research,cola.py worker,systemd env NTFY queue PID and logs,servicio|service|unit|cola|queue|estado|state,read-only text/stat; no service action,BLOCKED,service declaration plus queue side effects require isolated harness
LUNA-11,/home/mak/flujo/cultura/mak_curatoria/diagnostico_proyectos.py,source,true,47621,48bf8c1ec4a0e7292ffdc691da5fecca11dd919e46633f187fbb43854616fa5c,BLOCKED,MAK curatoria,research_lib ledger and curatoria outputs,Python platform ledger files and project data,curatoria|curation|diagnostico|diagnostic|estado|state|ledger|bitacora|bitácora,AST pass and real import recorded by Phase 8; no data run,BLOCKED,consumer identified but output/data contract not isolated
LUNA-11,/home/mak/curatoria/diagnostico_proyectos.py,runtime,true,47621,48bf8c1ec4a0e7292ffdc691da5fecca11dd919e46633f187fbb43854616fa5c,BLOCKED,MAK curatoria,research memory and project reports,JSONL/files and platform ledger,curatoria|curation|diagnostico|diagnostic|estado|state,source/runtime hash equality and metadata,BLOCKED,equality does not prove operational ownership or consumer health
LUNA-11,/home/mak/flujo/cultura/mak_curatoria/percepcion.py,source,true,62675,f3589397262e37651b81f688beaf5a5e4e72b066152679513a335365b4857081,BLOCKED,MAK curatoria,guardia and curatoria output files,Python GPU lock files logs optional external archive,percepcion|perception|curatoria|curation|guardia|watchdog|vigia|guardian,AST pass; no perception run,BLOCKED,execution can mutate logs/data and may require unavailable external surface
LUNA-11,/home/mak/curatoria/percepcion.py,runtime,true,62675,f3589397262e37651b81f688beaf5a5e4e72b066152679513a335365b4857081,BLOCKED,MAK curatoria,guardia logs and triangulation output,locks logs JSONL and project files,percepcion|perception|curatoria|curation|salud|health|estado|state,source/runtime hash equality and metadata,BLOCKED,existing outputs are evidence not adoption proof
LUNA-11,/home/mak/flujo/cultura/mak_curatoria/curatoria_guardia.sh,source,true,4398,5006fe8fe52940e88dcd8c31dd618f3b332edc80b6bdb764feeffe2fb5b27254,BLOCKED,MAK curatoria,curatoria runtime and GPU-protected tasks,bash lock GPU process and persistent logs,guardia|watchdog|guardian|vigia|curatoria|curation|servicio|service,bash -n exit 0; not executed,BLOCKED,syntax validity cannot establish safe current guardia contract
LUNA-11,/home/mak/curatoria/curatoria_guardia.sh,runtime,true,4398,5006fe8fe52940e88dcd8c31dd618f3b332edc80b6bdb764feeffe2fb5b27254,BLOCKED,MAK curatoria,percepcion and ingestion,lock GPU process logs and output paths,guardia|watchdog|guardian|vigia|estado|state,source/runtime hash equality; no guardia run,BLOCKED,do not start watchdog or service
LUNA-11,/home/mak/flujo/cultura/mak_codex/interfaz_codex.py,source,true,30735,b5c551fa228be777253a1ea7bd2e8918ff35799d81cff7802168e43e0b57cc25,BLOCKED,MAK codex,local Codex UI and piezas output,Python UI jobs JSONL locks model boundary,codex|codigo|code|interfaz|interface|pieza|artifact|estado|state,AST pass; no UI/provider run,BLOCKED,no current Debian consumer verification under mission constraints
LUNA-11,/home/mak/codex/interfaz_codex.py,runtime,true,30735,b5c551fa228be777253a1ea7bd2e8918ff35799d81cff7802168e43e0b57cc25,BLOCKED,MAK codex,piezas revisions and jobs,JSONL locks and provider/model boundary,codex|codigo|code|pieza|artifact|trabajo|job,source/runtime hash equality; no process start,BLOCKED,runtime state is not a live contract
LUNA-11,/home/mak/flujo/cultura/mak_codex/worker_codex.py,source,true,7625,56994a93db9fe390ac802a6b40d13c89299ca7f02cc975f797e0000da948c280,BLOCKED,MAK codex,mak-codex.service and jobs,queue lock subprocess/model and event files,codex|worker|conductor|dispatcher|cola|queue|job|tarea,AST pass; not invoked,BLOCKED,worker execution prohibited
LUNA-11,/home/mak/codex/worker_codex.py,runtime,true,7625,56994a93db9fe390ac802a6b40d13c89299ca7f02cc975f797e0000da948c280,BLOCKED,MAK codex,jobs and piezas,locks JSONL subprocess/model boundary,codex|worker|trabajador|cola|queue|estado|state,source/runtime hash equality; no worker run,BLOCKED,job records do not prove consumer health
LUNA-11,/home/mak/flujo/cultura/mak_codex/mak-codex.service,source,true,425,4603a6382f28062e73188d496dd345730a737c07f934b8a754f5d38689c6b580,BLOCKED,MAK codex,interfaz_codex worker,systemd env paths and model/provider boundary,codex|servicio|service|unit|trabajo|job,read-only stat/text; no systemd action,BLOCKED,declaration only; no permanent service
LUNA-11,/home/mak/codex/mak-codex.service,runtime,true,425,4603a6382f28062e73188d496dd345730a737c07f934b8a754f5d38689c6b580,BLOCKED,MAK codex,worker_codex and jobs,systemd locks JSONL and provider/model,codex|servicio|service|unit|cola|queue,source/runtime hash equality; no service action,BLOCKED,do not infer live unit from file presence
LUNA-11,/home/mak/flujo/cultura/mak_plataforma/research_router.py,source,true,11918,7abe2882a1ca3732da4553d8cf21076d2df33184dbef97b53cf5e93d18c6b107,BLOCKED,mak_plataforma,mak_research interface,Python route and research runtime paths,investigacion|investigación|research|router|ruta|route|plataforma|platform,AST/hash metadata; no route server,BLOCKED,consumer relation is textual/structural only
LUNA-11,/home/mak/flujo/cultura/mak_plataforma/puente_issues.py,source,true,25866,e1bc8880c9191822db01f44e5b2dcac29016ac9213532e279ec2a9982a705659,BLOCKED,mak_plataforma,issue_render and curatoria/research handoff,gh network queue shadow state and render paths,investigacion|investigación|research|curatoria|curation|issue|entrega|delivery,AST plus Phase 9 read-only audit; no network or queue,BLOCKED,Phase 9 confirmed dry path still observes persistent/network state
LUNA-11,/home/mak/flujo/cultura/mak_conductor/handler_registry.py,source,true,54633,7284ccacfc44a4fa52cb10f41b541a3392072d4bcf7557dc8875e4005400dc1a,BLOCKED,mak_conductor,platform delivery and issue handlers,Python lazy imports JSON payload and runtime state,conductor|dispatcher|handler|trabajo|work|entrega|delivery|curatoria|curation,AST/import registry pass; no handler execution,BLOCKED,30 handlers observed but Phase 9 retained no_change due side effects
LUNA-11,/home/mak/research/interfaz.py.bak,runtime,true,125618,89b363269aa54d4872a1bcfbc8f5cd96cd950fa7a104519c6a6f42c51dd8265b,SUPERSEDED,unknown,none,standalone historical source,investigacion|research|interfaz|interface|reemplazado|superseded,stat+sha256 only,SUPERSEDED,backup variant retained as evidence; no consumer contract
LUNA-11,/home/mak/codex/codex_lib.py.bak,runtime,true,10778,ff49208827130a8b817bfb0f90929e11a669418f985c4e2cc9205cdd5dd3ce9c,SUPERSEDED,unknown,none,standalone historical source,codex|codigo|code|reemplazado|superseded,stat+sha256 only,SUPERSEDED,backup variant retained; not compared for adoption
LUNA-11,/home/mak/research/DIGEST.md,runtime,true,6279,c7082c1aacc3bedf597a175070228539a7db7dcb3ca7890cbbf964c1a69501e0,EVIDENCE_ONLY,MAK research historical/reporting surface,research reports and human readers,Markdown only and report corpus,investigacion|investigación|research|digest|informe|report|bitacora|bitácora,metadata plus existing inventory,EVIDENCE_ONLY,generated digest demonstrates outputs but not a current execution contract
