born,path,type,category,owner_measured,notes
2026-07-18,/home/mak/rclone.log,f,sin clasificar,sin medir,sin medir
2026-07-20,/home/mak/blender-4.5.3-viejo,d,sin clasificar,sin medir,sin medir
2026-07-20,/home/mak/flujo,d,baseline,repo: baseline de autoria e integracion,agents.md lo declara baseline; 3799 tests; unico proceso vivo corre desde aca
2026-07-20,/home/mak/searxng,d,sistema,sin medir,sin medir
2026-07-22,/home/mak/RD,d,produccion,"material Reduciendo Dano: PSD, flyers, AE","58 GB de trabajo de cliente, no maquinaria"
2026-07-22,/home/mak/actions-runner,d,runtime,runner self-hosted de GitHub,sin medir si esta registrado
2026-07-22,/home/mak/curatoria,d,departamento,curatoria_guardia.sh -> repo,symlink al repo; el destino no tiene bit de ejecucion
2026-07-22,/home/mak/curatoria_test,d,sin clasificar,sin medir,sin medir
2026-07-22,/home/mak/portfolio_media,d,produccion,media,sin medir
2026-07-22,/home/mak/render_rd_1080.log,f,sin clasificar,sin medir,sin medir
2026-07-22,/home/mak/renders,d,sistema,sin medir,sin medir
2026-07-23,/home/mak/bin,d,sistema,sin medir,sin medir
2026-07-23,/home/mak/curatoria_inbox,d,fuera de alcance,staging migracion Windows->Linux,181 GB; instruccion del operador: MAK debe funcionar antes de migrar
2026-07-27,/home/mak/blender,d,vendor,Blender vendorizado,sin medir version
2026-07-27,/home/mak/crontab.bak-20260727,f,sin clasificar,sin medir,sin medir
2026-07-27,/home/mak/trazos,d,produccion,trazos,sin medir
2026-07-30,/home/mak/n8n-local,d,sistema,sin medir,sin medir
2026-08-03,/home/mak/cli_watsonx.py,f,sin clasificar,sin medir,sin medir
2026-08-04,/home/mak/vigia,d,departamento,vigia_guardia.sh -> repo,"symlink al repo, destino ejecutable, pausado"
2026-08-06,/home/mak/quarantine,d,snapshot,cuarentenas flujo-* 20260806-09,congelado antes de la pausa
2026-08-07,/home/mak/venv-providers,d,sistema,sin medir,sin medir
2026-08-09,/home/mak/_archive,d,retiro,"faro_sync, group4-reverted, watsonx-retired",retiros fechados 2026-08-09..21
2026-08-10,/home/mak/labs,d,evidencia,6 archivo_index.sqlite en 7 laboratorios,confirmado exacto contra lo que CAPACIDADES.md afirmaba
2026-08-10,/home/mak/models,d,vendor,pesos de modelos,sin medir
2026-08-10,/home/mak/src,d,sistema,sin medir,sin medir
2026-08-11,/home/mak/rollback,d,snapshot,puntos atlas-* 20260811,congelado antes de la pausa
2026-08-12,/home/mak/tmp,d,sin clasificar,sin medir,sin medir
2026-08-13,/home/mak/Documents,d,sistema,sin medir,sin medir
2026-08-13,/home/mak/WIN,d,legado,arbol Windows historico,"agents.md: evidencia historica, no modificar. 4 runbooks xio recuperados de aca"
2026-08-13,/home/mak/indexes,d,mapa,mak-reality/archivo_index.sqlite,"1904 assets con sha256, 431 proyectos, 1877 familias. El mapa que ya existia"
2026-08-13,/home/mak/state,d,snapshot,2 snapshots 20260813,congelado antes de la pausa
2026-08-17,/home/mak/global.yml,f,sin clasificar,sin medir,sin medir
2026-08-21,/home/mak/2026-08-21-022101-clone-httpsgithubcomligerezamat-sigit.txt,f,sin clasificar,sin medir,sin medir
2026-08-23,/home/mak/gpu_fix_report.txt,f,sin clasificar,sin medir,sin medir
2026-08-24,/home/mak/barrierc-xtest-debug.log,f,sin clasificar,sin medir,sin medir
2026-08-24,/home/mak/go,d,sistema,sin medir,sin medir
2026-08-24,/home/mak/opt,d,sistema,sin medir,sin medir
2026-08-27,/home/mak/tools,d,sistema,sin medir,sin medir
2026-08-28,/home/mak/WINDOWS---,f,sin clasificar,sin medir,sin medir
,/home/mak/GoogleDrive,d,sistema,sin medir,sin medir
,/home/mak/OneDrive,d,sistema,sin medir,sin medir
